1,Кондензатори,C0805,1.0uF,25V,X7R,SAMSUNG,10,0.04398,1бр.,0.44,
2,Кондензатори,C0805,4.7uF,50V,X5R,SAMSUNG,10,0.13,1бр.,1.3,
3,Кондензатори,C0805,100pF,50V,C0G,SAMSUNG,10,0.0294,1бр.,0.29,
4,Кондензатори,C0805,10uF,25V,X5R,SAMSUNG,10,0.07805,1бр.,0.78,
5,Кондензатори,C0805,100nF,50V,X7R,5%,10,0.04398,1бр.,0.44,SAMSUNG
6,Кондензатори,C0805,10nF,50V,X7R,YAGEO,10,0.01891,1бр.,0.19,
7,Кондензатори,C0805,47pF,50V,C0G,SAMSUNG,10,0.01882,1бр.,0.19,
8,Съединители,USB,B,MICRO,R/A,SMD,WP,2,3.66,1бр.,7.32
9,Съединители,YPJ-8168X1,2,0.53,1бр.,1.06,,,,,
10,Съединители,TS6P6C-PCB-U,TE,2,0.74,1бр.,1.48,,,,
11,Фер.,мъниста,BLM21PG300SN1D,10,0.03074,1бр.,0.31,,,,
12,Резистори,R0805,1.0K,5%,40,0.0297,1бр.,1.19,,,
13,Резистори,R0805,1.0M,5%,10,0.0297,1бр.,0.3,,,
14,Резистори,R0805,10K,5%,10,0.0297,1бр.,0.3,,,
15,Резистори,R0805,2.0K,5%,10,0.0297,1бр.,0.3,,,
16,Резистори,R0805,4.7K,5%,10,0.0297,1бр.,0.3,,,
17,Интегр.,схеми,1439477,MCP73811T-420I/OT,2,1.02,1бр.,2.04,,,
18,Интегр.схеми,MCP6002-I/SN,2,0.56,1бр.,1.12,,,,,
19,Интегр.,схеми,2081328,FT231XS,2,3.81,1бр.,7.62,,,
20,Интегр.,схеми,1605581,TC2117-3.3VDBTR,2,1.45,1бр.,2.9,,,
